week,category,sku_count,brand_count,weekly_sales,promo_active,normal_price,promo_price
1,Susu Bubuk,86,14,597,0,24999,24999
1,Biskuit,37,27,339,0,9999,9999
1,Sirup,29,11,624,0,14999,14999
1,Soda,53,7,593,0,14999,14999
1,Cokelat,67,21,459,0,9999,9999
1,Roti,64,15,345,0,19999,19999
1,Sereal,107,11,974,0,19999,19999
1,Mie Instan,186,8,732,0,19999,19999
1,Kopi Bubuk,165,9,377,1,14999,11646
1,Sarden Kaleng,86,5,254,1,24999,19751
1,Jus Kemasan,109,15,271,0,5999,5999
1,Buah Kering,172,21,465,0,19999,19999
1,Beras,134,19,279,0,24999,24999
1,Teh,184,23,601,0,9999,9999
1,Pasta,152,25,631,0,9999,9999
1,Mayones,180,13,641,0,24999,24999
1,Kecap,165,8,254,1,9999,7898
1,Penyedap Rasa,79,3,135,1,19999,14180
1,Saos,194,20,491,0,24999,24999
1,Garam,139,10,287,0,19999,19999
1,Gula,168,13,493,0,24999,24999
1,Kaldu Jamur,98,11,371,0,5999,5999
1,Selai,186,22,510,1,19999,15173
1,Permen,179,18,371,0,9999,9999
1,Gulali,65,5,251,0,5999,5999
1,Makaroni,162,8,561,0,24999,24999
1,Marshmallow,132,10,409,1,14999,12182
1,Kuaci,73,3,236,1,24999,20305
1,Yogurt,195,8,354,1,14999,12067
1,Keju,168,12,674,0,5999,5999
1,Nugget,175,13,771,0,19999,19999
1,Air Mineral,195,8,955,0,14999,14999
1,Minuman Isotonik,164,17,670,0,24999,24999
1,Keripik,172,20,838,0,9999,9999
1,Susu Kemasan,154,12,679,0,5999,5999
1,Kopi Kemasan,189,11,351,0,19999,19999
1,Kacang,165,10,462,1,14999,11472
1,Buah-Buahan,179,13,518,1,5999,4472
1,Sayur-Sayuran,196,11,230,0,19999,19999
1,Ice Cream,174,16,417,0,14999,14999
1,Kornet,136,9,520,0,24999,24999
1,Daging Segar,184,8,834,0,14999,14999
1,Minyak Goreng,179,13,530,0,5999,5999
1,Kentang Goreng,163,7,343,0,19999,19999
1,Telur,193,9,429,0,9999,9999
1,Seafood Segar,136,18,705,1,14999,12327
1,Mentega,120,15,412,0,24999,24999
1,Krim,42,10,179,0,24999,24999
1,Bihun,113,13,537,0,19999,19999
2,Susu Bubuk,86,14,527,0,24999,24999
