Category,MAE,RMSE,MAPE (%),R²,Mean_Actual,Mean_Predicted,Std_Actual,Std_Predicted
Susu Bubuk,52.84,63.62,9.19,-2.498,575.4,570.8,34.0,59.5
Biskuit,36.68,41.77,10.39,-0.802,364.8,390.0,31.1,20.3
Sirup,58.41,69.28,7.77,0.296,764.6,748.3,82.6,78.7
Soda,63.21,78.59,10.3,-1.129,625.7,633.5,53.9,47.6
Cokelat,46.31,59.53,9.65,-1.333,457.0,418.3,39.0,16.8
Roti,39.57,49.05,11.24,-0.733,344.7,323.5,37.3,17.2
Sereal,77.38,92.81,7.5,-0.632,1012.6,959.9,72.6,56.4
Mie Instan,57.92,77.16,7.29,-0.027,772.1,769.2,76.1,19.2
Kopi Bubuk,41.41,52.72,10.67,-0.427,387.8,393.3,44.1,23.5
Sarden Kaleng,24.05,32.11,8.78,-1.12,261.9,243.2,22.0,14.3
Jus Kemasan,30.14,37.43,10.44,-0.41,295.4,295.6,31.5,17.5
Buah Kering,59.1,68.83,13.06,-0.672,468.6,496.7,53.2,24.0
Beras,37.5,44.98,13.58,-0.795,288.9,299.2,33.6,19.2
Teh,64.5,74.71,11.33,-0.64,575.8,581.8,58.3,33.2
Pasta,76.26,101.54,10.91,-0.799,725.6,745.5,75.7,67.2
Mayones,80.0,91.84,12.65,-1.385,645.8,637.4,59.5,62.6
Kecap,27.77,32.53,11.57,-0.286,239.8,237.1,28.7,18.3
Penyedap Rasa,16.0,19.08,12.12,-6.932,134.1,143.0,6.8,14.5
Saos,45.64,61.23,10.01,-0.811,443.4,417.0,45.5,30.3
Garam,30.0,35.92,10.5,-0.214,293.0,291.7,32.6,16.8
Gula,43.48,49.96,9.44,-0.171,468.1,489.4,46.2,25.3
Kaldu Jamur,34.32,43.86,8.9,-1.211,392.5,404.9,29.5,27.4
Selai,35.07,45.11,7.3,-0.762,473.3,457.4,34.0,27.4
Permen,48.56,54.83,14.44,-0.957,349.7,369.3,39.2,22.0
Gulali,30.98,37.81,11.75,-0.579,275.3,274.4,30.1,15.6
Makaroni,65.37,76.52,11.9,-0.892,562.0,584.4,55.6,51.3
Marshmallow,37.11,47.76,9.44,-1.597,388.2,386.7,29.6,26.9
Kuaci,24.6,31.48,10.07,-0.544,244.4,233.1,25.3,11.3
Yogurt,49.37,59.45,13.56,-0.746,367.8,379.2,45.0,33.7
Keju,63.47,83.25,10.26,-0.184,672.2,693.6,76.5,29.5
Nugget,91.2,112.82,11.85,-0.52,767.8,768.9,91.5,72.4
Air Mineral,77.57,87.01,8.35,-0.92,932.8,916.9,62.8,46.3
Minuman Isotonik,63.52,69.76,9.07,-0.224,687.2,669.4,63.1,39.0
Keripik,100.86,125.99,12.03,-0.328,850.0,870.2,109.3,69.4
Susu Kemasan,78.2,94.45,11.26,-1.482,684.7,659.0,59.9,71.4
Kopi Kemasan,27.86,34.41,7.08,-0.098,389.6,377.9,32.8,23.9
Kacang,55.27,73.57,12.09,-2.104,481.2,522.1,41.8,50.9
Buah-Buahan,51.45,66.31,8.56,-1.49,576.1,528.6,42.0,26.3
Sayur-Sayuran,26.18,38.8,9.39,-0.96,263.4,245.5,27.7,17.0
Ice Cream,49.79,59.19,10.63,-0.371,457.2,437.4,50.5,30.2
Kornet,68.35,84.06,12.63,-0.325,569.9,572.7,73.0,39.3
Daging Segar,75.96,98.42,10.76,-0.087,779.0,809.7,94.4,21.6
Minyak Goreng,58.89,76.18,9.72,-2.387,584.6,533.6,41.4,36.4
Kentang Goreng,32.07,40.25,9.23,-0.366,352.6,339.7,34.4,21.9
Telur,62.87,80.44,13.19,-1.511,452.3,402.3,50.8,37.8
Seafood Segar,57.89,72.34,8.78,0.06,680.6,681.8,74.6,53.1
Mentega,31.96,37.42,8.53,-0.306,370.4,359.7,32.7,27.3
Krim,20.4,25.24,9.58,-0.723,211.8,206.5,19.2,12.0
Bihun,66.36,80.79,12.9,-0.94,546.6,594.0,58.0,27.1
